time,vwap,ema9,ema21,ema50,ema200,atr,adx,rsi,volume,vix,regime,setup,signal,score
2025-06-04 06:17:00,0.0,24593.75,24593.63,24593.75,24593.63,3.65,20.0,44.06,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 06:18:00,0.0,24593.06,24593.33,24593.06,24593.33,3.65,20.0,40.04,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 06:19:00,0.0,24591.79,24592.73,24591.79,24592.73,3.74,20.0,24.95,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 06:20:00,0.0,24591.09,24592.32,24591.09,24592.32,3.76,20.0,21.57,0.0,15.0,Checklist,Checklist Setup,HOLD,3
2025-06-04 06:21:00,0.0,24590.79,24592.08,24590.79,24592.08,3.87,20.0,31.36,0.0,15.0,Checklist,Checklist Setup,HOLD,3
2025-06-04 06:22:00,0.0,24589.92,24591.57,24589.92,24591.57,3.94,20.0,26.67,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 06:23:00,0.0,24589.59,24591.26,24589.59,24591.26,3.97,20.0,27.63,0.0,15.0,Checklist,Checklist Setup,HOLD,3
2025-06-04 06:24:00,0.0,24589.72,24591.17,24589.72,24591.17,4.08,20.0,34.44,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 06:25:00,0.0,24589.64,24591.0,24589.64,24591.0,4.01,20.0,38.6,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 06:26:00,0.0,24588.88,24590.53,24588.88,24590.53,4.03,20.0,36.24,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 06:27:00,0.0,24587.98,24589.98,24587.98,24589.98,4.1,20.0,32.99,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 06:28:00,0.0,24588.22,24589.9,24588.22,24589.9,4.28,20.0,43.78,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 06:29:00,0.0,24589.44,24590.31,24589.44,24590.31,4.59,20.0,51.36,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 06:30:00,0.0,24590.48,24590.7,24590.48,24590.7,4.66,20.0,51.36,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 06:31:00,0.0,24590.81,24590.83,24590.81,24590.83,4.66,20.0,50.3,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 06:32:00,0.0,24591.36,24591.07,24591.36,24591.07,4.65,20.0,54.84,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 06:33:00,0.0,24591.36,24591.1,24591.36,24591.1,4.58,20.0,57.32,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 06:34:00,0.0,24591.53,24591.2,24591.53,24591.2,4.46,20.0,56.23,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 06:35:00,0.0,24591.96,24591.43,24591.96,24591.43,4.19,20.0,56.44,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 06:36:00,0.0,24591.99,24591.49,24591.99,24591.49,4.1,20.0,59.56,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 06:37:00,0.0,24591.62,24591.37,24591.62,24591.37,4.14,20.0,53.08,0.0,15.0,Checklist,Checklist Setup,HOLD,3
2025-06-04 06:38:00,0.0,24593.13,24592.08,24593.13,24592.08,4.56,20.0,62.05,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 06:39:00,0.0,24594.9,24592.98,24594.9,24592.98,4.69,20.0,66.24,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 06:40:00,0.0,24596.73,24593.98,24596.73,24593.98,4.62,20.0,74.2,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 06:41:00,0.0,24598.22,24594.91,24598.22,24594.91,4.55,20.0,77.27,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 06:42:00,0.0,24599.15,24595.63,24599.15,24595.63,4.39,20.0,70.82,0.0,15.0,Checklist,Checklist Setup,HOLD,4
